question_idx,chinese,pinyin,syllables,audio,correct_tone,user_answer,is_correct,time_seconds,timestamp
1,牛奶,niúnǎi,2,04_牛奶_23.wav,23,24,False,46.55,2026-01-27 11:30:58
2,老,lǎo,1,07_老_3.wav,3,42,False,16.5,2026-01-27 11:31:21
3,电脑,diànnǎo,2,10_电脑_43.wav,43,4,False,14.75,2026-01-27 11:31:42
4,美国,měiguó,2,07_美国_32.wav,32,3,False,15.01,2026-01-27 11:32:04
5,火,huǒ,1,08_火_3.wav,3,32,False,24.6,2026-01-27 11:32:36
6,叫,jiào,1,10_叫_4.wav,4,4,True,11.96,2026-01-27 11:32:51
1,电脑,diànnǎo,2,10_电脑_43.wav,43,4,False,78.21,2026-01-27 13:59:25
2,老,lǎo,1,07_老_3.wav,3,23,False,31.8,2026-01-27 14:00:00
3,白,bái,1,06_白_2.wav,2,2,True,21.96,2026-01-27 14:00:24
4,商店,shāngdiàn,2,02_商店_14.wav,14,4,False,15.65,2026-01-27 14:00:41
5,学校,xuéxiào,2,05_学校_24.wav,24,12,False,25.67,2026-01-27 14:01:10
6,骂,mà,1,11_骂_4.wav,4,42,False,15.85,2026-01-27 14:01:27
1,骂,mà,1,11_骂_4.wav,4,2,False,57.64,2026-01-27 15:11:33
2,心,xīn,1,02_心_1.wav,1,1,True,30.9,2026-01-27 15:12:09
3,面包,miànbāo,2,08_面包_41.wav,41,31,False,25.35,2026-01-27 15:12:35
4,学校,xuéxiào,2,05_学校_24.wav,24,24,True,31.38,2026-01-27 15:13:11
5,白,bái,1,06_白_2.wav,2,2,True,37.12,2026-01-27 15:13:49
6,明天,míngtiān,2,03_明天_21.wav,21,21,True,17.77,2026-01-27 15:14:08
1,叫,jiào,1,10_叫_4.wav,4,14,False,106.0,2026-01-27 16:18:39
2,火,huǒ,1,08_火_3.wav,3,3,True,25.91,2026-01-27 16:19:11
3,明天,míngtiān,2,03_明天_21.wav,21,31,False,18.13,2026-01-27 16:19:32
4,中国,zhōngguó,2,01_中国_12.wav,12,13,False,22.24,2026-01-27 16:19:56
